  0.00     0.0     0.0     1.0     0.0     0.0
  0.50     0.0     0.0     1.0     0.0     0.0
  1.00     0.0     0.0     1.0     0.0     0.0
  1.50     0.0     0.0     1.0     0.0     0.0
  2.00     0.0     0.0     1.0     0.0     0.0
  2.50     0.0     0.0     1.0     0.0     0.0
  3.00     0.0     0.0     1.0     0.0     0.0
  3.50     0.0     0.0     1.0     0.0     0.0
  4.00     0.0     0.0     0.0     1.0     0.0
  4.50     0.0     0.0     0.0     1.0     0.0
  5.00     0.0     0.0     0.0     1.0     0.0
  5.50     0.0     0.0     0.0     1.0     0.0
  6.00     0.0     0.0     0.0     1.0     0.0
  6.50     0.0     0.0     0.0     1.0     0.0
  7.00     0.0     0.0     0.0     1.0     0.0
  7.50     0.0     0.0     0.0     1.0     0.0
  8.00     0.0     0.0     0.0     1.0     0.0
  8.50     0.0     0.0     0.0     1.0     0.0
  9.00     0.0     0.0     0.0     1.0     0.0
  9.50     0.0     0.0     0.0     1.0     0.0
 10.00     0.0     0.0     0.0     1.0     0.0
 10.50     0.0     0.0     0.0     1.0     0.0
 11.00     0.0     0.0     0.0     1.0     0.0
 11.50     0.0     0.0     0.0     1.0     0.0
 12.00     0.0     0.0     0.0     1.0     0.0
 12.50     0.0     0.0     0.0     1.0     0.0
 13.00     0.0     0.0     0.0     1.0     0.0
 13.50     0.0     0.0     0.0     1.0     0.0
 14.00     0.0     0.0     0.0     1.0     0.0
 14.50     0.0     0.0     0.0     1.0     0.0
 15.00     0.0     0.0     0.0     1.0     0.0
 15.50     0.0     0.0     0.0     1.0     0.0
 16.00     0.0     0.0     0.0     1.0     0.0
 16.50     0.0     0.0     1.0     0.0     0.0
 17.00     0.0     0.0     1.0     0.0     0.0
 17.50     0.0     0.0     1.0     0.0     0.0
 18.00     0.0     0.0     1.0     0.0     0.0
 18.50     0.0     0.0     1.0     0.0     0.0
 19.00     0.0     0.0     1.0     0.0     0.0
 19.50     0.0     0.0     1.0     0.0     0.0
 20.00     0.0     0.0     1.0     0.0     0.0
 20.50     0.0     0.0     1.0     0.0     0.0
 21.00     0.0     0.0     1.0     0.0     0.0
 21.50     0.0     0.0     1.0     0.0     0.0
 22.00     0.0     0.0     1.0     0.0     0.0
 22.50     0.0     0.0     1.0     0.0     0.0
 23.00     0.0     0.0     1.0     0.0     0.0
 23.50     0.0     0.0     1.0     0.0     0.0
 24.00     0.0     0.0     1.0     0.0     0.0
 24.50     0.0     0.0     1.0     0.0     0.0
 25.00     0.0     0.0     1.0     0.0     0.0
 25.50     0.0     0.0     1.0     0.0     0.0
 26.00     0.0     0.0     1.0     0.0     0.0
 26.50     0.0     0.0     1.0     0.0     0.0
 27.00     0.0     0.0     1.0     0.0     0.0
 27.50     0.0     0.0     0.0     1.0     0.0
 28.00     0.0     0.0     0.0     1.0     0.0
 28.50     0.0     0.0     0.0     1.0     0.0
 29.00     0.0     0.0     0.0     1.0     0.0
 29.50     0.0     0.0     0.0     1.0     0.0
 30.00     0.0     0.0     0.0     1.0     0.0
 30.50     0.0     0.0     0.0     1.0     0.0
 31.00     0.0     0.0     0.0     1.0     0.0
 31.50     0.0     0.0     0.0     1.0     0.0
 32.00     0.0     0.0     0.0     1.0     0.0
 32.50     0.0     0.0     0.0     1.0     0.0
 33.00     0.0     0.0     0.0     1.0     0.0
 33.50     0.0     0.0     0.0     1.0     0.0
 34.00     0.0     0.0     0.0     1.0     0.0
 34.50     0.0     0.0     0.0     1.0     0.0
 35.00     0.0     0.0     1.0     0.0     0.0
 35.50     0.0     0.0     1.0     0.0     0.0
 36.00     0.0     0.0     1.0     0.0     0.0
 36.50     0.0     0.0     1.0     0.0     0.0
 37.00     0.0     0.0     1.0     0.0     0.0
 37.50     0.0     0.0     1.0     0.0     0.0
 38.00     0.0     0.0     1.0     0.0     0.0
 38.50     0.0     0.0     1.0     0.0     0.0
 39.00     0.0     0.0     1.0     0.0     0.0
 39.50     0.0     0.0     1.0     0.0     0.0
 40.00     0.0     1.0     0.0     0.0     0.0
 40.50     0.0     1.0     0.0     0.0     0.0
 41.00     0.0     1.0     0.0     0.0     0.0
 41.50     0.0     1.0     0.0     0.0     0.0
 42.00     0.0     1.0     0.0     0.0     0.0
 42.50     0.0     1.0     0.0     0.0     0.0
 43.00     0.0     1.0     0.0     0.0     0.0
 43.50     0.0     1.0     0.0     0.0     0.0
 44.00     0.0     1.0     0.0     0.0     0.0
 44.50     0.0     1.0     0.0     0.0     0.0
 45.00     0.0     1.0     0.0     0.0     0.0
 45.50     0.0     1.0     0.0     0.0     0.0
 46.00     0.0     1.0     0.0     0.0     0.0
 46.50     0.0     1.0     0.0     0.0     0.0
 47.00     0.0     1.0     0.0     0.0     0.0
 47.50     0.0     1.0     0.0     0.0     0.0
 48.00     0.0     1.0     0.0     0.0     0.0
 48.50     0.0     1.0     0.0     0.0     0.0
 49.00     0.0     1.0     0.0     0.0     0.0
 49.50     0.0     1.0     0.0     0.0     0.0
 50.00     0.0     1.0     0.0     0.0     0.0
 50.50     0.0     1.0     0.0     0.0     0.0
 51.00     0.0     1.0     0.0     0.0     0.0
 51.50     0.0     1.0     0.0     0.0     0.0
 52.00     0.0     1.0     0.0     0.0     0.0
 52.50     0.0     1.0     0.0     0.0     0.0
 53.00     0.0     1.0     0.0     0.0     0.0
 53.50     0.0     1.0     0.0     0.0     0.0
 54.00     0.0     1.0     0.0     0.0     0.0
 54.50     0.0     1.0     0.0     0.0     0.0
 55.00     0.0     1.0     0.0     0.0     0.0
 55.50     0.0     1.0     0.0     0.0     0.0
 56.00     0.0     1.0     0.0     0.0     0.0
 56.50     0.0     1.0     0.0     0.0     0.0
 57.00     0.0     1.0     0.0     0.0     0.0
 57.50     0.0     1.0     0.0     0.0     0.0
 58.00     0.0     1.0     0.0     0.0     0.0
 58.50     0.0     1.0     0.0     0.0     0.0
 59.00     0.0     1.0     0.0     0.0     0.0
 59.50     0.0     1.0     0.0     0.0     0.0
 60.00     0.0     1.0     0.0     0.0     0.0
 60.50     0.0     1.0     0.0     0.0     0.0
 61.00     0.0     1.0     0.0     0.0     0.0
 61.50     0.0     1.0     0.0     0.0     0.0
 62.00     0.0     1.0     0.0     0.0     0.0
 62.50     0.0     1.0     0.0     0.0     0.0
 63.00     0.0     1.0     0.0     0.0     0.0
 63.50     0.0     1.0     0.0     0.0     0.0
 64.00     0.0     1.0     0.0     0.0     0.0
 64.50     0.0     1.0     0.0     0.0     0.0
 65.00     0.0     1.0     0.0     0.0     0.0
 65.50     0.0     1.0     0.0     0.0     0.0
 66.00     0.0     1.0     0.0     0.0     0.0
 66.50     0.0     1.0     0.0     0.0     0.0
 67.00     0.0     1.0     0.0     0.0     0.0
 67.50     0.0     1.0     0.0     0.0     0.0
 68.00     0.0     1.0     0.0     0.0     0.0
 68.50     0.0     1.0     0.0     0.0     0.0
 69.00     0.0     1.0     0.0     0.0     0.0
 69.50     0.0     1.0     0.0     0.0     0.0
 70.00     0.0     1.0     0.0     0.0     0.0
 70.50     0.0     1.0     0.0     0.0     0.0
 71.00     0.0     1.0     0.0     0.0     0.0
 71.50     0.0     1.0     0.0     0.0     0.0
 72.00     0.0     1.0     0.0     0.0     0.0
 72.50     0.0     1.0     0.0     0.0     0.0
